domanda,opzioneA,opzioneB,opzioneC,opzioneD,soluzione,motivazione
Switches, "Have one MAC address per physical port.", "Have one MAC address per physical port plus one for each configured VLAN.", "Have a single MAC address for the whole device.", "Do not have any MAC address (they are transparent indeed)", C
The Spanning Tree Protocol operates sequentially according to the following phases:,"Root Bridge selection, Root Ports selection, Designated Ports selection.","Root Ports selection, Root Bridge selection, Designated Ports selection.","Root Bridge selection, Designated Ports selection, Root Ports selection.","Root Ports selection, Designated Ports selection, Root Bridge selection.",A,
The (classical) Spanning Tree Protocol can have two types of frames:,Topology Change Notification BPDU and Topology Advertisement BPDU.,Configuration BPDU and Topology Change Notification BPDU.,Configuration BPDU and Topology Advertisement BPDU.,Root Bridge Election BPDU and Topology Advertisement BPDU.,B,
The Spanning Tree Protocol is needed because:,The learning process in bridges cannot operate when the L2 network contains loops.,"In case the network contains multiple paths, the load balancing algorithm can generate frame reordering problems in the destination host.",The learning process in bridges is not optimized in presence of multiple paths toward the same destination.,Frames can circulate forever since the Time-To-Live field in the Ethernet frame is not decremented by bridges.,A,
"According to the IEEE 802.1q (VLAN) standard, the GVRP protocol (GARP VLAN Registration Protocol) is useful to:",Register the traffic of different VLANs.,Assign different priorities to packets belonging to different VLANs.,Configure dynamically the ports of a switch based on the configuration obtained from the network interface of the computer at the other end of the cable.,Propagate automatically over the whole network the information about existing VLANs.,D,
One of the reasons that motivates the use of VLANs is:,Faster frame forwarding.,Reduction of broadcast traffic (better scalability).,Reduction of the collisions (better scalability).,Simplified management of the Spanning Tree Protocol.,B,
A Trunk port,Transmits only tagged frames.,Transmits only untagged frames.,Transmits mostly tagged frames.,Transmits only BPDU frames.,C,
An IEEE 802.11 station is said to operate at the basic rate when:,It uses the minimum transmission rate available in a BSS.,It uses a modulation that provides the minimum bit time.,It uses the shortest time interval between frames.,It sends the minimum number of frames per data packets,A,
Which of the following factors does NOT affect the throughput of a WiFi connection operating according to the IEEE 802.11ac (WiFi 5) standard?,The presence of hidden terminals.,The presence of walls between the stations and the AP,The presence of other IEEE 802.11ac stations within radio range.,The presence of Bluetooth devices nearby.,D,
"With the term InterFrame Space, the IEEE 802.11 standard refers to:",The different timing in the transmission of back-to-back radio frames by a station.,The radio range that allows a station to receive data frames from an Access Point.,The safety distance from an AP to avoid dangerous radiation exposure.,The duration of a radio frame.,A,
"To determine the Root Bridge, the Spanning Tree analyzes the value of the following field present in the BPDU:",Root Path Cost.,Root Identifier. ,Bridge Priority.,Port Identifier.,B,
The Spanning Tree Protocol is used to:,"Manage multiple paths in load-balancing, providing redundancy in the network.",Update the filtering database.,Optimize the forwarding process.,"Transform a network containing meshes into a tree, removing loops. ",D,
"Given two bridges connected to the same L2 network, in which the Bridge Identifiers are 32768-00:11:22:33:44:55 and 28672-00:22:33:44:55:66:",The value 28672 is not a valid Bridge Priority.,The first will become the root bridge.,The second will become the root bridge. ,"The second will become root bridge for the VLAN 0, while the first will become root bridge for all the other VLANs.",C,
In a switched network:,The number of missing frames may not be negligible because of possible congestions on the switches.,"Missing frames is a rare event thanks to the high speed of the switch.
","There cannot be missing frames because of the Spanning Tree protocol.",There cannot be missing frames because there are no collisions.,A
When a Broadcast Storm occurs within a VLAN:,The broadcast storm occurs also in the other VLANs.,"The broadcast storm occurs also in the other VLANs, unless a priority mechanism is used to privilege the traffic of those VLANs.",The other VLANs may suffer because of the bandwidth scarcity due to the large amount of traffic on the trunk links.,The other VLANs are protected and are not affected by this problem.,C,
